id,concrete_cement,healthy_metal,incomplete,irregular_metal,other
7a4d630a,0.001794709,0.9229342,0.0009497494,0.07187579,0.002445534
7a4bbbd6,0.000620081,0.9778139,0.0002582235,0.0212042,0.0001034711
7a4ac744,0.01023482,0.0378632,0.04029611,0.9030211,0.008584788
7a4881fa,9.246824e-05,0.08247352,0.005644221,0.911709,8.070771e-05
7a4aa4a8,0.0001260449,0.342946,0.04307745,0.613762,8.848925e-05
7a514434,0.003893189,0.02356179,0.04134731,0.9310884,0.0001092173
7a485f72,0.05096939,0.0201311,0.1701982,0.7512915,0.007409898
7a4b8d32,0.1054082,0.06347194,0.005944769,0.8165313,0.008643832
7a47eb3c,0.04612064,0.1035436,0.0008899924,0.8165998,0.03284598
7a4be3ae,0.9281531,0.005601866,0.05478872,0.007968196,0.003488137
7a46a330,0.0001274552,0.9803375,2.951349e-05,0.01924752,0.0002579064
7a481620,0.5386097,0.2883927,0.01417804,0.1487078,0.01011168
7a49c678,0.00217037,0.9581401,0.0005359311,0.03641916,0.002734376
7a4ea044,0.3422435,0.2629844,0.004656206,0.2679511,0.1221648
7a47aa1e,0.06982831,0.06572723,0.005502511,0.8331944,0.02574749
7a51aa1e,0.0002428873,0.9621935,2.69634e-05,0.0007056836,0.03683094
7a498be0,0.01936681,0.05154103,0.05387162,0.8469487,0.02827179
7a4a2848,0.002332686,0.6271144,0.0004683307,0.3619712,0.008113474
7a4c4cd6,0.192426,0.3848636,0.09031633,0.2949974,0.03739666
7a465038,0.002004358,0.1981696,0.01914006,0.7782724,0.00241352
7a4e94aa,0.002279524,0.06836938,0.001272251,0.9267706,0.001308196
7a49f62a,0.0001987666,0.912168,0.0003617468,0.08712728,0.0001441813
7a45b6f0,0.04361669,0.952891,1.108211e-05,0.003218362,0.0002628856
7a50bb90,0.2653049,0.2760805,0.0007566124,0.3047825,0.1530756
7a4d38e4,0.2228267,0.2396309,0.04596005,0.4695762,0.02200619
7a48a3a6,0.0103569,0.06250075,0.04111354,0.8817111,0.004317713
7a4ebe9e,0.001829243,0.7507626,0.006735445,0.2385217,0.002151003
7a48352e,0.003979228,0.6801483,0.003003943,0.3056678,0.007200616
7a4bfaec,0.002533583,0.03917003,0.001419999,0.9566323,0.0002441586
7a51e060,0.007527835,0.9647646,3.916079e-05,0.008959765,0.01870858
7a4c0f5a,0.004154156,0.005741052,0.7517703,0.2375822,0.000752458
7a4b9976,0.001531057,0.9058589,0.0008159108,0.09115675,0.0006372969
7a4b27d4,0.5961652,0.06292734,0.04534775,0.2537867,0.04177305
7a51c698,0.09771968,0.6755895,0.001298647,0.2090728,0.01631935
7a474bb4,0.007914354,0.9440435,0.0001282078,0.04031102,0.007602879
7a480054,0.1145491,0.02482469,0.5371928,0.3230733,0.0003600435
7a4a4044,0.002492487,0.01461842,0.0436908,0.9389073,0.0002909701
7a4c35ca,0.006468975,0.7640572,0.00185118,0.1911578,0.03646485
7a4d3fd8,0.001372999,0.9637272,0.0001034699,0.03458824,0.0002080775
7a4c1a68,0.05180902,0.03480228,0.4639153,0.4168393,0.03263401
7a4eb1c4,0.0008038117,0.5143946,0.003132817,0.4798046,0.001864213
7a4a51ce,0.006823702,0.4437397,0.0147608,0.5323415,0.00233437
7a4a14fc,0.05671474,0.1950407,0.0002567194,0.7084727,0.03951519
7a5015d2,0.01988809,0.7794287,0.0009255807,0.1286912,0.07106638
7a4ba95c,0.004172589,0.5128038,0.004795737,0.4777113,0.0005166018
7a5101ae,0.02699022,0.0146076,0.05320523,0.9048787,0.0003183624
7a4d0a22,0.0003184906,0.7449118,6.388519e-05,0.252959,0.001746822
7a5134ee,0.000216767,0.4805378,0.001861902,0.5169826,0.0004008814
7a4a85c2,0.1815841,0.2608032,0.000609281,0.5356082,0.02139519
7a514b14,0.2077934,0.5283273,0.00674113,0.2448571,0.01228115
7a4d0a90,0.01804051,0.9732181,4.590506e-05,0.004625954,0.004069567
7a485fd6,0.143005,0.1804888,0.06975136,0.57629,0.03046483
7a4f668c,0.001113339,0.3095247,0.003603931,0.6654997,0.02025846
7a44e752,0.001192871,0.9931115,1.615336e-05,0.001791018,0.003888548
7a5162d4,0.0001019631,0.9698439,3.938229e-05,0.02832609,0.001688669
